No.	Transcript ID	index	score	start	end	length
1	ERV316A3_1p36.33::chr1:40736-42273(-)	noncoding	-0.3994985012498289	997	1062	1537
2	HML3_1p36.33::chr1:895544-898699(-)	coding	0.6544505642716902	670	972	3155
3	MER4B_1p36.33::chr1:1275713-1280788(-)	noncoding	-0.34205513035683055	3726	3911	5075
4	HARLEQUIN_1p36.33::chr1:1412252-1418852(-)	coding	0.6582705579303614	2883	3197	6600
5	HERVIP10F_1p36.33::chr1:1449072-1449730(-)	noncoding	-0.4323684080159299	217	357	658
6	HERVL_1p36.32::chr1:2625292-2626288(+)	noncoding	-0.34990953167458594	825	917	996
7	ERVLE_1p36.32a::chr1:2637771-2638501(+)	noncoding	-0.426021635413649	47	265	730
8	ERVLE_1p36.32b::chr1:2897224-2898434(-)	noncoding	-0.3669118613551392	751	969	1210
9	ERVLB4_1p36.32::chr1:3002414-3003699(-)	noncoding	-0.28872774500371035	676	1278	1285
10	HML4_1p36.32::chr1:3801472-3806930(-)	noncoding	-0.33845879149959923	3191	3430	5458
11	ERVLE_1p36.32c::chr1:3969312-3969956(-)	noncoding	-0.37762630601165115	412	477	644
12	HERVH_1p36.32a::chr1:4180997-4187514(-)	noncoding	-0.35442147780201294	471	728	6517
13	HERVL66_1p36.32::chr1:4587568-4591911(-)	noncoding	-0.3563274545560141	2650	2805	4343
14	HERVH_1p36.32b::chr1:5044796-5053098(+)	noncoding	-0.34666194391320815	932	1234	8302
15	HERVH_1p36.32c::chr1:5114487-5118888(+)	noncoding	-0.3350812364541762	3111	3392	4401
16	ERVLE_1p36.31a::chr1:5580463-5582352(-)	noncoding	-0.3590510230259075	1146	1301	1889
17	ERVLE_1p36.31b::chr1:5820123-5823005(+)	noncoding	-0.3371678227294199	798	1067	2882
18	HERVFH21_1p36.31::chr1:6560297-6570283(-)	noncoding	-0.3238058722992756	9287	9601	9986
19	ERV316A3_1p36.23::chr1:7320314-7322250(-)	noncoding	-0.3760023421004324	1132	1326	1936
20	HERV9_1p36.23::chr1:8895877-8899114(+)	noncoding	-0.3725543726987016	20	313	3237
21	HML3_1p36.23::chr1:8907810-8908879(-)	noncoding	-0.3103168942211362	357	626	1069
22	HERVFH21_1p36.23::chr1:8921052-8927668(+)	noncoding	-0.3272465613665019	1441	1749	6616
23	HERVFH19_1p36.23a::chr1:9086800-9088393(+)	noncoding	-0.3670418976269698	444	911	1593
24	HERVFH19_1p36.23b::chr1:9088458-9096029(+)	noncoding	-0.338460434366161	7186	7287	7571
25	ERVLB4_1p36.22::chr1:9297468-9302644(+)	noncoding	-0.3116623598037054	4469	4750	5176
26	ERVL_1p36.22a::chr1:9302227-9304444(+)	noncoding	-0.3755243849635266	766	915	2217
27	ERVL_1p36.22b::chr1:9496729-9497380(-)	noncoding	-0.3541572143848297	263	529	651
28	HUERSP1_1p36.22::chr1:10016592-10017954(-)	noncoding	-0.3675268435208132	242	379	1362
29	ERVLE_1p36.22::chr1:10140592-10141777(-)	noncoding	-0.36354393154323916	747	917	1185
30	ERV316A3_1p36.22a::chr1:11378008-11383024(+)	noncoding	-0.32348815171042533	1175	1606	5016
31	ERV316A3_1p36.22b::chr1:11383219-11385505(+)	noncoding	-0.3540864785566932	1531	1770	2286
32	HERVL_1p36.22::chr1:12388951-12395953(-)	noncoding	-0.34486958372125787	5314	5574	7002
33	ERVLE_1p36.21a::chr1:12669213-12670382(+)	noncoding	-0.42374229058149726	29	106	1169
34	ERVLE_1p36.21b::chr1:12674390-12677130(-)	noncoding	-0.3579554585808258	134	313	2740
35	HERVIP10F_1p36.21::chr1:12703944-12713280(-)	noncoding	-0.35386636412726635	1193	1531	9336
